id,address,capacity,earthquake,elevation,evacuationSpace,fire,flood_L1,flood_L2,inundation,jurisdiction,latitude,longitude,name,residentsAssociation,sedimentDisaster,stormSurge,telephoneNumber,tunami
jp.takamatsu.smartcity.shelter.EvacuationSpace.1,高松市瀬戸内町18-2,238,○,1.7,○,○,○,△,○,地域振興課,34.34753333,134.03003917,日新小学校跡施設,日新地区コミュニティ協議会,○,△,087-839-2611,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.2,高松市錦町2-14-1,429,○,2.9,○,○,○,△,○,教育総務課,34.34583944,134.04099361,新番丁小学校,二番丁地区コミュニティ協議会,○,△,087-851-1316,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.3,高松市番町1-5-1,315,○,2.5,○,○,○,○,○,埋蔵文化財センター,34.34377306,134.04579889,四番丁小学校跡施設,四番丁コミュニティ協議会,○,△,087-823-2714,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.4,高松市亀岡町10-1,351,○,4.1,○,○,○,○,○,教育総務課,34.33752361,134.03989417,亀阜小学校,亀阜校区コミュニティ協議会,○,△,087-861-2013,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.5,高松市栗林町2-10-7,429,○,6.2,○,○,○,○,○,教育総務課,34.33083306,134.05012111,栗林小学校,栗林校区コミュニティ協議会,○,○,087-861-3438,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.6,高松市花園町2-7-7,310,○,2.5,○,○,○,○,○,教育総務課,34.33344111,134.05785361,花園小学校,花園地区コミュニティ協議会,○,△,087-831-9129,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.7,高松市築地町14-1,279,○,1.6,○,○,○,○,△,地域振興課,34.34125139,134.05681472,築地小学校跡施設,築地地区コミュニティ協議会,○,△,087-839-2611,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.8,高松市末広町5,310,○,2,○,○,○,○,○,総合教育センター,34.34375389,134.05616194,総合教育センター,新塩屋町地区コミュニティ協議会,○,△,087-811-2161,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.9,高松市松並町636-1,306,○,16.3,○,○,○,△,△,教育総務課,34.31556472,134.02853472,鶴尾小学校,鶴尾校区コミュニティ協議会,○,○,087-867-2564,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.10,高松市伏石町845-1,393,○,13.2,○,○,○,○,○,教育総務課,34.31229917,134.05171333,太田小学校,太田地区コミュニティ協議会,○,○,087-865-4433,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.11,高松市太田下町1823-1,393,○,19.9,○,○,○,○,○,教育総務課,34.30652444,134.04418639,太田南小学校,太田南地区コミュニティ協議会,○,○,087-865-9395,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.12,高松市松縄町1138,306,○,9.8,○,○,○,○,○,教育総務課,34.32068722,134.06164556,中央小学校,太田地区コミュニティ協議会,○,○,087-866-2938,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.13,高松市木太町3480-1,324,○,1.7,○,○,○,△,○,教育総務課,34.32505639,134.07648556,木太小学校,木太地区コミュニティ協議会,○,△,087-861-6337,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.14,高松市木太町2613,274,○,1,○,○,○,△,○,教育総務課,34.33625528,134.08043778,木太北部小学校,木太地区コミュニティ協議会,○,△,087-831-4150,△
jp.takamatsu.smartcity.shelter.EvacuationSpace.15,高松市木太町1530-1,324,○,3.2,○,○,○,△,○,教育総務課,34.32080417,134.07471944,木太南小学校,木太地区コミュニティ協議会,○,△,087-866-7295,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.16,高松市高松町398,314,○,4.1,○,○,○,△,○,教育総務課,34.33228972,134.10677444,古高松小学校,古高松地区コミュニティ協議会,○,○,087-841-9204,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.17,高松市新田町甲2605,277,○,3.3,○,○,○,△,○,教育総務課,34.32686222,134.09864194,古高松南小学校,古高松地区コミュニティ協議会,○,△,087-843-2467,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.18,高松市屋島西町1205-1,405,○,16.4,○,○,○,○,△,教育総務課,34.347035,134.09963306,屋島小学校,屋島地区コミュニティ協議会,×,○,087-841-1538,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.19,高松市屋島西町2469,396,○,2.7,○,○,○,△,○,教育総務課,34.350915,134.09065306,屋島西小学校,屋島地区コミュニティ協議会,○,△,087-841-1063,○
jp.takamatsu.smartcity.shelter.EvacuationSpace.20,高松市屋島東町942-1,247,○,2.5,○,○,○,○,○,教育総務課,34.3537625,134.11598694,屋島東小学校,屋島地区コミュニティ協議会,○,△,087-843-8402,△
